Article ID,Article Title,User Name,Resolve?,Include,Country,Exposure_Route,Chemical,Exposure  Model - new,Exposure_Model,Known models,Analysis  Method,Programming / Statistical analysis,Data,Population study,scope of study,year_of_study,Notes,User Note,Title,Journal,Authors
91158499,"Evaluation of predictive algorithms used for estimating potential postapplication, nondietary ingestion exposures to pesticides associated with children's hand-to-mouth behavior",tom+ontox-api,,,North America,"Oral,Dermal",,,Probabilistic,,,,,,,,,,"Evaluation of predictive algorithms used for estimating potential postapplication, nondietary ingestion exposures to pesticides associated with children's hand-to-mouth behavior",J. Toxicol. Environ. Health A,"Driver, J.; Ross, J.; Pandian, M.; Assaf, N.; Osimitz, T.; Holden, L."
91158499,"Evaluation of predictive algorithms used for estimating potential postapplication, nondietary ingestion exposures to pesticides associated with children's hand-to-mouth behavior",trine.husoy,,TRUE,,,,,,,,,,,,,,,"Evaluation of predictive algorithms used for estimating potential postapplication, nondietary ingestion exposures to pesticides associated with children's hand-to-mouth behavior",J. Toxicol. Environ. Health A,"Driver, J.; Ross, J.; Pandian, M.; Assaf, N.; Osimitz, T.; Holden, L."
91158499,"Evaluation of predictive algorithms used for estimating potential postapplication, nondietary ingestion exposures to pesticides associated with children's hand-to-mouth behavior",Maria.Kalyva,,TRUE,North America,"Oral,Dermal,Inhalation",Pesticide,Empirical equations,Probabilistic,SHEDS-multimedia EPA,probabilistic,not reported,"Duration,Frequency,Factor, Rate",age groups,"validation biomonitoring,human exposure (HE) estimates only",2013,"Known models:Cares; Data:concentration/area, transfer coefficient, surface area, removal efficiency, body weight, fraction/event, number of events/h, fraction of active ingredient ",,"Evaluation of predictive algorithms used for estimating potential postapplication, nondietary ingestion exposures to pesticides associated with children's hand-to-mouth behavior",J. Toxicol. Environ. Health A,"Driver, J.; Ross, J.; Pandian, M.; Assaf, N.; Osimitz, T.; Holden, L."
91158500,Exposure to oxybenzone from sunscreens: daily transdermal uptake estimation,tom+ontox-api,,,North America,Dermal,,,Probabilistic,,,,,,,,,,Exposure to oxybenzone from sunscreens: daily transdermal uptake estimation,J. Expo. Sci. Environ. Epidemiol.,"Eftekhari, A.; Morrison, G. C."
91158500,Exposure to oxybenzone from sunscreens: daily transdermal uptake estimation,trine.husoy,,TRUE,North America,Dermal,Cosmetic ingredients,Empirical equations,,,"deterministic,equations",not reported,"Concentration,Amount,Other",individual,human exposure (HE) estimates only,1997,"Data:diffusion coefficient, fugacity, thickness",,Exposure to oxybenzone from sunscreens: daily transdermal uptake estimation,J. Expo. Sci. Environ. Epidemiol.,"Eftekhari, A.; Morrison, G. C."
91158500,Exposure to oxybenzone from sunscreens: daily transdermal uptake estimation,Maria.Kalyva,,TRUE,North America,Dermal,Other,,,,,,,,,2021,Chemical:oxybenzone,,Exposure to oxybenzone from sunscreens: daily transdermal uptake estimation,J. Expo. Sci. Environ. Epidemiol.,"Eftekhari, A.; Morrison, G. C."
91158501,Modeled estimates of chlorpyrifos exposure and dose for the Minnesota and Arizona NHEXAS populations,tom+ontox-api,,,North America,"Oral,Dermal,Inhalation",,,Probabilistic,,,,,,,,,,Modeled estimates of chlorpyrifos exposure and dose for the Minnesota and Arizona NHEXAS populations,J. Expo. Anal. Environ. Epidemiol.,"Buck, R. J.; Ozkaynak, H.; Xue, J.; Zartarian, V. G.; Hammerstrom, K."
91158501,Modeled estimates of chlorpyrifos exposure and dose for the Minnesota and Arizona NHEXAS populations,trine.husoy,,TRUE,North America,"Oral,Dermal,Inhalation",Pesticide,Mathematical model,,,probabilistic,sas,"Concentration, Rate,Consumption,Duration,Factor",population analysis,,1991,,,Modeled estimates of chlorpyrifos exposure and dose for the Minnesota and Arizona NHEXAS populations,J. Expo. Anal. Environ. Epidemiol.,"Buck, R. J.; Ozkaynak, H.; Xue, J.; Zartarian, V. G.; Hammerstrom, K."
91158501,Modeled estimates of chlorpyrifos exposure and dose for the Minnesota and Arizona NHEXAS populations,Maria.Kalyva,,TRUE,North America,"Oral,Dermal,Inhalation",Pesticide,Mathematical model,,,probabilistic,sas,"Concentration,Consumption, Rate,Duration,Factor","population analysis,age groups,individual",human exposure (HE) estimates only,1991,,,Modeled estimates of chlorpyrifos exposure and dose for the Minnesota and Arizona NHEXAS populations,J. Expo. Anal. Environ. Epidemiol.,"Buck, R. J.; Ozkaynak, H.; Xue, J.; Zartarian, V. G.; Hammerstrom, K."
91158502,"Potential sources and health risk assessment of polycyclic aromatic hydrocarbons in street dusts of Karaj urban area, northern Iran",tom+ontox-api,,,"Asia,Middle East (includes Saudi Arabia)","Dermal,Inhalation,Oral",,,Probabilistic,,,,,,,,,,"Potential sources and health risk assessment of polycyclic aromatic hydrocarbons in street dusts of Karaj urban area, northern Iran",J Environ Health Sci Eng,"Qishlaqi, A.; Beiramali, F."
91158502,"Potential sources and health risk assessment of polycyclic aromatic hydrocarbons in street dusts of Karaj urban area, northern Iran",Maria.Kalyva,,TRUE,,,,,,,,,,,,,Data:dermal adherence; Programming / Statistical analysis:CrystalBallTM Oracle,,"Potential sources and health risk assessment of polycyclic aromatic hydrocarbons in street dusts of Karaj urban area, northern Iran",J Environ Health Sci Eng,"Qishlaqi, A.; Beiramali, F."
91158502,"Potential sources and health risk assessment of polycyclic aromatic hydrocarbons in street dusts of Karaj urban area, northern Iran",graciela.lopezsoop,,TRUE,Middle East (includes Saudi Arabia),"Oral,Dermal,Inhalation",Persistent,Mathematical model,Probabilistic,,probabilistic,not reported,"Concentration,Frequency,Duration, Rate,Factor,Other",age groups,HE associated with risk assessment,2019,"Chemical:PAHs; Data:body weight, average life span, dermal area, dermal adsorption, particle emission",,"Potential sources and health risk assessment of polycyclic aromatic hydrocarbons in street dusts of Karaj urban area, northern Iran",J Environ Health Sci Eng,"Qishlaqi, A.; Beiramali, F."
91158503,Cancer risk assessment from trihalomethanes in drinking water,tom+ontox-api,,,Asia,"Oral,Dermal,Inhalation",,,Probabilistic,,,,,,,,,,Cancer risk assessment from trihalomethanes in drinking water,Sci. Total Environ.,"Wang, G. S.; Deng, Y. C.; Lin, T. F."
91158503,Cancer risk assessment from trihalomethanes in drinking water,Maria.Kalyva,,TRUE,Asia,"Oral,Dermal,Inhalation",Other,Mathematical model,,,,"Excel,CrystalBallTM Oracle","Concentration, Rate,Frequency,Duration,Factor",population analysis,HE associated with risk assessment,2007,"Chemical:trihalomethanes; Programming / Statistical analysis:CrystalBallTM Oracle; Data:body weight, skin surface area, faction contact, permeability coefficient, absorption efficiency alveoli",,Cancer risk assessment from trihalomethanes in drinking water,Sci. Total Environ.,"Wang, G. S.; Deng, Y. C.; Lin, T. F."
91158503,Cancer risk assessment from trihalomethanes in drinking water,graciela.lopezsoop,,TRUE,Asia,"Oral,Inhalation,Dermal",Disinfecting chemicals,Mathematical model,,,probabilistic,Excel,"Concentration, Rate,Frequency,Duration,Factor,Other",population analysis,HE associated with risk assessment,2007,,,Cancer risk assessment from trihalomethanes in drinking water,Sci. Total Environ.,"Wang, G. S.; Deng, Y. C.; Lin, T. F."
91158504,Estimating the contribution of precursor compounds in consumer exposure to PFOS and PFOA,tom+ontox-api,,,EU,"Oral,Dermal,Inhalation",,,Probabilistic,,,,,,,,,,Estimating the contribution of precursor compounds in consumer exposure to PFOS and PFOA,Chemosphere,"Vestergren, R.; Cousins, I. T.; Trudel, D.; Wormuth, M.; Scheringer, M."
91158504,Estimating the contribution of precursor compounds in consumer exposure to PFOS and PFOA,Maria.Kalyva,,TRUE,EU,"Oral,Dermal,Inhalation",PFASs,Mathematical model,,,probabilistic,not reported,"Concentration,Frequency, Rate,Consumption,Amount,Factor","population analysis,age groups",human exposure (HE) estimates only,2008,"Data:migration fraction, volume, contact area, volume inhaled, body weight, fraction transferred",,Estimating the contribution of precursor compounds in consumer exposure to PFOS and PFOA,Chemosphere,"Vestergren, R.; Cousins, I. T.; Trudel, D.; Wormuth, M.; Scheringer, M."
91158504,Estimating the contribution of precursor compounds in consumer exposure to PFOS and PFOA,graciela.lopezsoop,,TRUE,Other,"Oral,Inhalation,Dermal",PFASs,Mathematical model,,,probabilistic,not reported,"Dose,Amount, Rate,Frequency,Concentration,Factor,Other,Consumption,Duration",age groups,human exposure (HE) estimates only,2008,,,Estimating the contribution of precursor compounds in consumer exposure to PFOS and PFOA,Chemosphere,"Vestergren, R.; Cousins, I. T.; Trudel, D.; Wormuth, M.; Scheringer, M."
91158505,Health risk assessment of volatile organic compounds exposure near Daegu dyeing industrial complex in South Korea,tom+ontox-api,,,Asia,Inhalation,,,Deterministic,,,,,,,,,,Health risk assessment of volatile organic compounds exposure near Daegu dyeing industrial complex in South Korea,BMC Public Health,"Shuai, J.; Kim, S.; Ryu, H.; Park, J.; Lee, C. K.; Kim, G. B.; Ultra, V. U.; Yang, W."
91158505,Health risk assessment of volatile organic compounds exposure near Daegu dyeing industrial complex in South Korea,Maria.Kalyva,,TRUE,Asia,Inhalation,VOCs,Empirical equations,,,deterministic,other,Concentration,cohort,HE associated with risk assessment,2018,Programming / Statistical analysis:SPSS,,Health risk assessment of volatile organic compounds exposure near Daegu dyeing industrial complex in South Korea,BMC Public Health,"Shuai, J.; Kim, S.; Ryu, H.; Park, J.; Lee, C. K.; Kim, G. B.; Ultra, V. U.; Yang, W."
91158505,Health risk assessment of volatile organic compounds exposure near Daegu dyeing industrial complex in South Korea,graciela.lopezsoop,,TRUE,Asia,Inhalation,VOCs,Empirical equations,,,deterministic,other,Concentration,cohort,HE associated with risk assessment,2018,,,Health risk assessment of volatile organic compounds exposure near Daegu dyeing industrial complex in South Korea,BMC Public Health,"Shuai, J.; Kim, S.; Ryu, H.; Park, J.; Lee, C. K.; Kim, G. B.; Ultra, V. U.; Yang, W."
91158506,European solvent industry group generic exposure scenario risk and exposure tool,tom+ontox-api,,,EU,"Dermal,Inhalation",,,Probabilistic,,,,,,,,,,European solvent industry group generic exposure scenario risk and exposure tool,J. Expo. Sci. Environ. Epidemiol.,"Zaleski, R. T.; Qian, H.; Zelenka, M. P.; George-Ares, A.; Money, C."
91158506,European solvent industry group generic exposure scenario risk and exposure tool,trine.husoy,,TRUE,EU,"Dermal,Inhalation",,Mathematical model,,ConsExpo RIVM,deterministic,,"Concentration,Factor,Amount,Duration, Rate",population analysis,HE associated with risk assessment,2014,"Known models:EGRET; Data:fraction (release), air exchange",,European solvent industry group generic exposure scenario risk and exposure tool,J. Expo. Sci. Environ. Epidemiol.,"Zaleski, R. T.; Qian, H.; Zelenka, M. P.; George-Ares, A.; Money, C."
91158506,European solvent industry group generic exposure scenario risk and exposure tool,Maria.Kalyva,,TRUE,EU,"Dermal,Inhalation",Consumer products,Mathematical model,,other,,Excel,"Concentration,Factor,Amount,Duration, Rate",population analysis,HE associated with risk assessment,2014,"Chemical:consumer solvents; Known models:European Solvents Industry Group (ESIG) Generic Exposure Scenario (GES) Risk and Exposure Tool (EGRET); Data:time, fraction of release",,European solvent industry group generic exposure scenario risk and exposure tool,J. Expo. Sci. Environ. Epidemiol.,"Zaleski, R. T.; Qian, H.; Zelenka, M. P.; George-Ares, A.; Money, C."
91158507,Examining the role of total organic carbon and black carbon in the fate of legacy persistent organic pollutants (POPs) in indoor dust from Nepal: Implication on human health,tom+ontox-api,,,Asia,"Oral,Dermal,Inhalation",,,Probabilistic,,,,,,,,,,Examining the role of total organic carbon and black carbon in the fate of legacy persistent organic pollutants (POPs) in indoor dust from Nepal: Implication on human health,Ecotoxicol. Environ. Saf.,"Chandra Yadav, I.; Devi, N. L.; Li, J.; Zhang, G."
91158507,Examining the role of total organic carbon and black carbon in the fate of legacy persistent organic pollutants (POPs) in indoor dust from Nepal: Implication on human health,Maria.Kalyva,,TRUE,Asia,"Oral,Dermal",Persistent,Empirical equations,,,"deterministic,statistical",other,"Amount, Rate","population analysis,age groups",HE associated with risk assessment,2014,"Chemical:Organochlorine pesticides (OCPs), polychlorinated biphenyls (PCBs); Programming / Statistical analysis:SPSS; Data:surface area, fraction absorbed skin adhetion skin, body weight",,Examining the role of total organic carbon and black carbon in the fate of legacy persistent organic pollutants (POPs) in indoor dust from Nepal: Implication on human health,Ecotoxicol. Environ. Saf.,"Chandra Yadav, I.; Devi, N. L.; Li, J.; Zhang, G."
91158507,Examining the role of total organic carbon and black carbon in the fate of legacy persistent organic pollutants (POPs) in indoor dust from Nepal: Implication on human health,graciela.lopezsoop,,TRUE,Asia,"Oral,Dermal",Persistent,Empirical equations,,,deterministic,other,"Concentration, Rate,Other,Amount",age groups,HE associated with risk assessment,2014,,,Examining the role of total organic carbon and black carbon in the fate of legacy persistent organic pollutants (POPs) in indoor dust from Nepal: Implication on human health,Ecotoxicol. Environ. Saf.,"Chandra Yadav, I.; Devi, N. L.; Li, J.; Zhang, G."
91158508,Integration of probabilistic exposure assessment and probabilistic hazard characterization,tom+ontox-api,,,EU,Oral,,,Probabilistic,,,,,,,,,,Integration of probabilistic exposure assessment and probabilistic hazard characterization,Risk Anal.,"van der Voet, H.; Slob, W."
91158508,Integration of probabilistic exposure assessment and probabilistic hazard characterization,trine.husoy,,TRUE,EU,Oral,Pesticide,Empirical equations,,,probabilistic,,"Concentration,Consumption,Factor",population analysis,HE associated with risk assessment,1998,,,Integration of probabilistic exposure assessment and probabilistic hazard characterization,Risk Anal.,"van der Voet, H.; Slob, W."
91158508,Integration of probabilistic exposure assessment and probabilistic hazard characterization,Maria.Kalyva,,TRUE,EU,Oral,Pesticide,Mathematical model,,,probabilistic,other,"Concentration,Consumption,Factor","individual,population analysis",HE associated with risk assessment,1998,Programming / Statistical analysis:Genstat software,,Integration of probabilistic exposure assessment and probabilistic hazard characterization,Risk Anal.,"van der Voet, H.; Slob, W."
91158509,Probabilistic cumulative dietary risk assessment of pesticide residues in foods for the German population based on food monitoring data from 2009 to 2014,tom+ontox-api,,,EU,Oral,,,Probabilistic,,,,,,,,,,Probabilistic cumulative dietary risk assessment of pesticide residues in foods for the German population based on food monitoring data from 2009 to 2014,Food Chem. Toxicol.,"Sieke, C."
91158509,Probabilistic cumulative dietary risk assessment of pesticide residues in foods for the German population based on food monitoring data from 2009 to 2014,trine.husoy,,TRUE,,,,,,,,,,,,,,,Probabilistic cumulative dietary risk assessment of pesticide residues in foods for the German population based on food monitoring data from 2009 to 2014,Food Chem. Toxicol.,"Sieke, C."
91158509,Probabilistic cumulative dietary risk assessment of pesticide residues in foods for the German population based on food monitoring data from 2009 to 2014,Maria.Kalyva,,TRUE,EU,Oral,Pesticide,Script/Software,Probabilistic,MCRA RIVM/EFSA,probabilistic,not reported,"Consumption,Factor,Frequency,Amount",population analysis,HE associated with risk assessment,2018,,,Probabilistic cumulative dietary risk assessment of pesticide residues in foods for the German population based on food monitoring data from 2009 to 2014,Food Chem. Toxicol.,"Sieke, C."
91158510,Formaldehyde in hair straightening products: Rapid 1H NMR determination and risk assessment,tom+ontox-api,,,EU,Inhalation,,,Probabilistic,,,,,,,,,,Formaldehyde in hair straightening products: Rapid 1H NMR determination and risk assessment,Int. J. Cosmet. Sci.,"Monakhova, Y. B.; Kuballa, T.; Mildau, G.; Kratz, E.; Keck-Wilhelm, A.; Tschiersch, C.; Lachenmeier, D. W."
91158510,Formaldehyde in hair straightening products: Rapid 1H NMR determination and risk assessment,Maria.Kalyva,,TRUE,,,Cosmetic ingredients,,,,probabilistic,Excel,,,,,Chemical:formaldehyde; Programming / Statistical analysis:@Risk Excel software,,Formaldehyde in hair straightening products: Rapid 1H NMR determination and risk assessment,Int. J. Cosmet. Sci.,"Monakhova, Y. B.; Kuballa, T.; Mildau, G.; Kratz, E.; Keck-Wilhelm, A.; Tschiersch, C.; Lachenmeier, D. W."
91158510,Formaldehyde in hair straightening products: Rapid 1H NMR determination and risk assessment,graciela.lopezsoop,,TRUE,EU,Inhalation,Cosmetic ingredients,Script/Software,,,"deterministic,probabilistic",Excel,"Concentration,Amount,Other",population analysis,HE associated with risk assessment,2012,Data:air volume,,Formaldehyde in hair straightening products: Rapid 1H NMR determination and risk assessment,Int. J. Cosmet. Sci.,"Monakhova, Y. B.; Kuballa, T.; Mildau, G.; Kratz, E.; Keck-Wilhelm, A.; Tschiersch, C.; Lachenmeier, D. W."
91158512,Korean Ministry of Environment's web-based visual consumer product exposure and risk assessment system (COPER),tom+ontox-api,,,Asia,"Dermal,Inhalation",,,,,,,,,,,,,Korean Ministry of Environment's web-based visual consumer product exposure and risk assessment system (COPER),Environ. Sci. Pollut. Res. Int.,"Lee, H.; Lee, K.; Park, J. Y.; Min, S. G."
91158512,Korean Ministry of Environment's web-based visual consumer product exposure and risk assessment system (COPER),Maria.Kalyva,,TRUE,,,Consumer products,Toolbox,,,"deterministic,probabilistic",,Factor,population analysis,HE associated with risk assessment,2017,"Known models:Consumer Product Exposure and Risk assessment system (COPER); Data:weight fraction, volume, absorption, surface area, body weight",,Korean Ministry of Environment's web-based visual consumer product exposure and risk assessment system (COPER),Environ. Sci. Pollut. Res. Int.,"Lee, H.; Lee, K.; Park, J. Y.; Min, S. G."
91158512,Korean Ministry of Environment's web-based visual consumer product exposure and risk assessment system (COPER),graciela.lopezsoop,,TRUE,Asia,"Inhalation,Dermal",,Script/Software,Statistical,,equations,not reported,"Concentration, Rate,Duration,Frequency,Other,Amount",,,,"Data:body weight, space volume, absorption",,Korean Ministry of Environment's web-based visual consumer product exposure and risk assessment system (COPER),Environ. Sci. Pollut. Res. Int.,"Lee, H.; Lee, K.; Park, J. Y.; Min, S. G."
91158513,Identification of a pesticide exposure based market basket suitable for cumulative dietary risk assessments and food monitoring programmes,gunn.vist,,TRUE,EU,Oral,Pesticide,Mathematical model,,,"deterministic,probabilistic","Excel,R",Consumption,population analysis,human exposure (HE) estimates only,2018,,,Identification of a pesticide exposure based market basket suitable for cumulative dietary risk assessments and food monitoring programmes,Food Addit. Contam. Part A Chem. Anal. Control Expo. Risk Assess.,"Sieke, C."
91158513,Identification of a pesticide exposure based market basket suitable for cumulative dietary risk assessments and food monitoring programmes,tom+ontox-api,,,EU,Oral,,,Probabilistic,,,,,,,,,,Identification of a pesticide exposure based market basket suitable for cumulative dietary risk assessments and food monitoring programmes,Food Addit. Contam. Part A Chem. Anal. Control Expo. Risk Assess.,"Sieke, C."
91158513,Identification of a pesticide exposure based market basket suitable for cumulative dietary risk assessments and food monitoring programmes,Maria.Kalyva,,TRUE,EU,Oral,Pesticide,Mathematical model,,MCRA RIVM/EFSA,probabilistic,"R,Excel","Concentration,Consumption,Frequency,Factor",population analysis,human exposure (HE) estimates only,2018,,,Identification of a pesticide exposure based market basket suitable for cumulative dietary risk assessments and food monitoring programmes,Food Addit. Contam. Part A Chem. Anal. Control Expo. Risk Assess.,"Sieke, C."
91158514,"Estimating Contaminant Dose for Intermittent Dermal Contact: Model Development, Testing, and Application",tom+ontox-api,,,North America,Dermal,,,Not determined,,,,,,,,,,"Estimating Contaminant Dose for Intermittent Dermal Contact: Model Development, Testing, and Application",Risk Anal.,"Riley, W. J.; McKone, T. E.; Hubal, E. A. C."
91158514,"Estimating Contaminant Dose for Intermittent Dermal Contact: Model Development, Testing, and Application",Maria.Kalyva,,TRUE,North America,Dermal,Pesticide,Mathematical model,,other,"probabilistic,model simulations",not reported,Concentration,population analysis,human exposure (HE) estimates only,2004,"Known models:Transient Transport through the epiDERMis (TTDERM); Data:diffusion coefficient, diffusivity, partition coefficient, skin permeability, thickness, mass-transfer coefficient, time",,"Estimating Contaminant Dose for Intermittent Dermal Contact: Model Development, Testing, and Application",Risk Anal.,"Riley, W. J.; McKone, T. E.; Hubal, E. A. C."
91158514,"Estimating Contaminant Dose for Intermittent Dermal Contact: Model Development, Testing, and Application",graciela.lopezsoop,,TRUE,North America,Dermal,"Pesticide,Other",Mathematical model,,,probabilistic,not reported,"Concentration,Duration,Frequency",,human exposure (HE) estimates only,2004,,,"Estimating Contaminant Dose for Intermittent Dermal Contact: Model Development, Testing, and Application",Risk Anal.,"Riley, W. J.; McKone, T. E.; Hubal, E. A. C."
91158515,Furan in Coffee Products: A Probabilistic Exposure Estimation,gunn.vist,,TRUE,EU,Oral,VOCs,Mathematical model,,,probabilistic,Excel,"Concentration,Frequency,Consumption,Dose",population analysis,human exposure (HE) estimates only,2005,,,Furan in Coffee Products: A Probabilistic Exposure Estimation,Coffee in Health and Disease Prevention,"Lachenmeier, D. W."
91158515,Furan in Coffee Products: A Probabilistic Exposure Estimation,tom+ontox-api,,,EU,Oral,,,Probabilistic,,,,,,,,,,Furan in Coffee Products: A Probabilistic Exposure Estimation,Coffee in Health and Disease Prevention,"Lachenmeier, D. W."
91158515,Furan in Coffee Products: A Probabilistic Exposure Estimation,Maria.Kalyva,,TRUE,EU,Oral,VOCs,Mathematical model,,,probabilistic,Excel,"Concentration,Frequency,Consumption,Factor","population analysis,age groups",HE associated with risk assessment,2005,Chemical:furan; Programming / Statistical analysis:@Risk Excel software,,Furan in Coffee Products: A Probabilistic Exposure Estimation,Coffee in Health and Disease Prevention,"Lachenmeier, D. W."
91158516,Historical reconstruction of wastewater and land use impacts to groundwater used for public drinking water: Exposure assessment using chemical data and GIS,gunn.vist,,TRUE,North America,Oral,Other,Mathematical model,,,equations,not reported,GIS,cohort,HE associated with risk assessment,1972,,,Historical reconstruction of wastewater and land use impacts to groundwater used for public drinking water: Exposure assessment using chemical data and GIS,J. Expo. Anal. Environ. Epidemiol.,"Swartz, C. H.; Rudel, R. A.; Kachajian, J. R.; Brody, J. G."
91158516,Historical reconstruction of wastewater and land use impacts to groundwater used for public drinking water: Exposure assessment using chemical data and GIS,tom+ontox-api,,,North America,Oral,,,Probabilistic,,,,,,,,,,Historical reconstruction of wastewater and land use impacts to groundwater used for public drinking water: Exposure assessment using chemical data and GIS,J. Expo. Anal. Environ. Epidemiol.,"Swartz, C. H.; Rudel, R. A.; Kachajian, J. R.; Brody, J. G."
91158516,Historical reconstruction of wastewater and land use impacts to groundwater used for public drinking water: Exposure assessment using chemical data and GIS,Maria.Kalyva,,TRUE,North America,Oral,Pesticide,Empirical equations,,,"deterministic,statistical",not reported,"GIS,Concentration",cohort,HE associated with other health outcomes,1972,,,Historical reconstruction of wastewater and land use impacts to groundwater used for public drinking water: Exposure assessment using chemical data and GIS,J. Expo. Anal. Environ. Epidemiol.,"Swartz, C. H.; Rudel, R. A.; Kachajian, J. R.; Brody, J. G."
91158517,Probabilistic modeling of school meals for potential bisphenol A (BPA) exposure,gunn.vist,,TRUE,North America,Oral,Bisphenols,Mathematical model,,,probabilistic,CrystalBallTM Oracle,"Consumption,Concentration",population analysis,human exposure (HE) estimates only,2012,,,Probabilistic modeling of school meals for potential bisphenol A (BPA) exposure,J. Expo. Sci. Environ. Epidemiol.,"Hartle, J. C.; Fox, M. A.; Lawrence, R. S."
91158517,Probabilistic modeling of school meals for potential bisphenol A (BPA) exposure,tom+ontox-api,,,North America,Oral,,,Probabilistic,,,,,,,,,,Probabilistic modeling of school meals for potential bisphenol A (BPA) exposure,J. Expo. Sci. Environ. Epidemiol.,"Hartle, J. C.; Fox, M. A.; Lawrence, R. S."
91158517,Probabilistic modeling of school meals for potential bisphenol A (BPA) exposure,Maria.Kalyva,,TRUE,North America,Oral,Bisphenols,Mathematical model,,,probabilistic,other,"Concentration,Consumption, Rate,Factor",population analysis,human exposure (HE) estimates only,2012,Chemical:Bisphenol A; Data:body weight; Programming / Statistical analysis:CrystalBallTM Oracle,,Probabilistic modeling of school meals for potential bisphenol A (BPA) exposure,J. Expo. Sci. Environ. Epidemiol.,"Hartle, J. C.; Fox, M. A.; Lawrence, R. S."
91158518,An integrated exposure and pharmacokinetic modeling framework for assessing population-scale risks of phthalates and their substitutes,gunn.vist,,TRUE,North America,"Oral,Dermal,Inhalation",Phthalates,Toolbox,,other,probabilistic,R,Concentration,population analysis,human exposure (HE) estimates only,2015,,,An integrated exposure and pharmacokinetic modeling framework for assessing population-scale risks of phthalates and their substitutes,Environ. Int.,"Wu, Y.; Song, Z.; Little, J. C.; Zhong, M.; Li, H.; Xu, Y."
91158518,An integrated exposure and pharmacokinetic modeling framework for assessing population-scale risks of phthalates and their substitutes,tom+ontox-api,,,"North America,Other","Oral,Dermal,Inhalation",,,"Not determined,Probabilistic",,,,,,,,,,An integrated exposure and pharmacokinetic modeling framework for assessing population-scale risks of phthalates and their substitutes,Environ. Int.,"Wu, Y.; Song, Z.; Little, J. C.; Zhong, M.; Li, H.; Xu, Y."
91158518,An integrated exposure and pharmacokinetic modeling framework for assessing population-scale risks of phthalates and their substitutes,Maria.Kalyva,,TRUE,North America,"Oral,Dermal,Inhalation",Phthalates,Mathematical model,,,probabilistic,R," Rate,Consumption",population analysis,HE associated with risk assessment,2015,Data:use patterns,,An integrated exposure and pharmacokinetic modeling framework for assessing population-scale risks of phthalates and their substitutes,Environ. Int.,"Wu, Y.; Song, Z.; Little, J. C.; Zhong, M.; Li, H.; Xu, Y."
91158519,Mercury risk assessment combining internal and external exposure methods for a population living near a municipal solid waste incinerator,gunn.vist,,TRUE,Asia,"Oral,Inhalation",Metals,Empirical equations,,other,probabilistic,not reported,Concentration,population analysis,"validation biomonitoring,human exposure (HE) estimates only",2013,"Chemical:mercury, methylmercury",,Mercury risk assessment combining internal and external exposure methods for a population living near a municipal solid waste incinerator,Environmental Pollution,"Deng, C.; Xie, H.; Ye, X.; Zhang, H.; Liu, M.; Tong, Y.; Ou, L.; Yuan, W.; Zhang, W.; Wang, X."
91158519,Mercury risk assessment combining internal and external exposure methods for a population living near a municipal solid waste incinerator,tom+ontox-api,,,Asia,"Oral,Inhalation",,,,,,,,,,,,,Mercury risk assessment combining internal and external exposure methods for a population living near a municipal solid waste incinerator,Environmental Pollution,"Deng, C.; Xie, H.; Ye, X.; Zhang, H.; Liu, M.; Tong, Y.; Ou, L.; Yuan, W.; Zhang, W.; Wang, X."
91158519,Mercury risk assessment combining internal and external exposure methods for a population living near a municipal solid waste incinerator,Maria.Kalyva,,TRUE,Asia,"Oral,Inhalation",Metals,Empirical equations,,,deterministic,not reported,"Concentration,Consumption",population analysis,"human exposure (HE) estimates only,validation biomonitoring",2013,Data:body weight,,Mercury risk assessment combining internal and external exposure methods for a population living near a municipal solid waste incinerator,Environmental Pollution,"Deng, C.; Xie, H.; Ye, X.; Zhang, H.; Liu, M.; Tong, Y.; Ou, L.; Yuan, W.; Zhang, W.; Wang, X."
91158520,Determination of hydrogen cyanide in residential ambient air using SPME coupled with GC-MS,gunn.vist,,TRUE,Asia,Inhalation,Other,Mathematical model,,,probabilistic,,"Concentration,Dose,Duration",population analysis,human exposure (HE) estimates only,2013,,,Determination of hydrogen cyanide in residential ambient air using SPME coupled with GC-MS,Atmos. Pollut. Res.,"Zain, Smsm; Shaharudin, R.; Kamaluddin, M. A.; Daud, S. F."
91158520,Determination of hydrogen cyanide in residential ambient air using SPME coupled with GC-MS,tom+ontox-api,,,Asia,Inhalation,,,"Probabilistic,Deterministic",,,,,,,,,,Determination of hydrogen cyanide in residential ambient air using SPME coupled with GC-MS,Atmos. Pollut. Res.,"Zain, Smsm; Shaharudin, R.; Kamaluddin, M. A.; Daud, S. F."
91158520,Determination of hydrogen cyanide in residential ambient air using SPME coupled with GC-MS,Maria.Kalyva,,TRUE,Asia,Inhalation,Pesticide,Empirical equations,,,"deterministic,statistical",other,"Concentration,Frequency,Duration",population analysis,HE associated with risk assessment,2013,Chemical:Hydrogen cyanide (HCN); Data:time; Programming / Statistical analysis:SPSS,,Determination of hydrogen cyanide in residential ambient air using SPME coupled with GC-MS,Atmos. Pollut. Res.,"Zain, Smsm; Shaharudin, R.; Kamaluddin, M. A.; Daud, S. F."
